,county,state,X.1,FIPS,X,Area.name,undereducated,prcntDeaths,prcntBirths,INTERNATIONAL_MIG_2016,rShift,flipped,prcntPopChg,alcohol1980,alcohol2014,alcoholChg1980to2014,drug1980,drug2014,drugChg1980to2014,self1980,self2014,selfChg1980to2014,violence1980,violence2014,violenceChg1980to2014,totalMortality2014,totalSelfMortality2014,prcntGOP12,prcntGOP16,prcntDem12,prcntDem16,popChg15,popEstimate16,whiteNotLatino,black,unemployment,poverty,deaths16,births16,domesticMig16,medianIncome16,stateAbbrv,totalVote,warrenFrac2020,bidenFrac2020,sandersFrac2020,buttigiegFrac2020,klobucharFrac2020,otherFrac2020,yangFrac2020,steyerFrac2020,cd,geoType,clintonFrac2016,sandersFrac2016,trumpFrac2016,bushFrac2016,voteTotal
111,Autauga,Alabama,1,1001,6,Autauga County,46.7,0.913564167,1.204819277,15,0.8020531,0,79.59766996,2.93,1.45,-50.52,0.67,7.32,998.81,15.53,18.19,17.15,10.14,6.31,-37.77,33.27,26.96,72.6337362,73.4357893,26.5757664,23.956855,440,55278,77.2,17.6,5.1,NA,505,666,266,54487,AL,3552,0.0543,0.6303,0.17,0.0028,0.0014,0.0208,0.0025,0.002,2,County,0.160018771,0.036468459,0.361131595,0.003821144,14917
120,Baldwin,Alabama,2,1003,7,Baldwin County,38.7,0.985499424,1.114168542,169,-0.0382771,0,223.8939034,2.65,2.53,-4.62,0.7,13.3,1795.87,14.29,18.51,29.52,10.79,5.27,-51.2,39.61,34.34,77.3897491,77.351472,21.5665741,19.5653098,4646,207509,83.5,9.3,5.4,NA,2045,2312,4205,56460,AL,12570,0.071,0.5824,0.1969,0.0061,0.0021,0.0209,0.0023,0.0033,1,County,0.091432214,0.046672295,0.409282773,0.003962579,58043
132,Barbour,Alabama,3,1005,8,Barbour County,61.1,1.043687437,1.055327074,-5,3.9338635,1,-190.1140684,3.91,2.72,-30.39,0.66,5.4,722.06,16.08,16.2,0.73,17.38,10.6,-39.04,34.92,24.32,48.3375513,52.2714148,51.2522908,46.6602502,-490,25774,46.8,46.7,8.4,NA,269,272,-488,32884,AL,2533,0.0225,0.7497,0.0797,0.0028,0.002,0.03,8.00E-04,0.002,2,County,0.414701131,0.035864297,0.276252019,0.001615509,6190
202,Bibb,Alabama,4,1007,9,Bibb County,61.1,0.914593735,1.281314894,20,3.8997831,0,31.81195599,2.21,1.22,-44.8,0.53,13.03,2344.39,13.98,19.95,42.74,12.58,9.11,-27.59,43.31,34.2,73.0663806,76.9661637,26.2185675,21.4220393,72,22633,75,21.9,6.5,NA,207,290,-32,43079,AL,995,0.0342,0.5618,0.1387,0.005,0,0.0161,0.002,0.001,6,County,0.183304145,0.047869235,0.381202569,0.003308037,5139
222,Blount,Alabama,5,1009,10,Blount County,52.9,1.150064279,1.172648622,62,3.3589644,0,-4.864320211,1.43,1.31,-8.31,0.46,14.38,3014.08,14.37,19.09,32.91,9.03,6.9,-23.53,41.68,34.78,86.4929108,89.8518752,12.3477898,8.4699023,-28,57562,88.9,1.3,5.4,NA,662,675,-100,47213,AL,1286,0.0708,0.5086,0.2613,0.007,0,0.0381,0.0062,0.0031,NA,County,0.035347205,0.024755578,0.463148659,0.003509652,15956
311,Bullock,Alabama,6,1011,11,Bullock County,67.5,1.12058232,1.398333493,18,0.7238104,0,21.07077866,5.06,3.05,-39.74,0.64,5.63,781.57,11.31,12.01,6.23,18.21,12,-34.08,32.69,20.69,23.5050771,24.2288875,76.3068823,75.0904063,22,10441,21.9,70,6.9,NA,117,146,-26,34278,AL,2235,0.0197,0.702,0.0667,0.0022,0.0027,0.0474,0.0031,0.0013,2,County,0.767623206,0.055520898,0.097629445,0.002183406,3206
323,Butler,Alabama,7,1013,12,Butler County,58.8,1.33233158,1.18206862,7,2.7353958,0,-88.15426997,2.59,1.61,-37.98,0.61,6.45,957.13,14.34,17.81,24.17,20.33,16.85,-17.1,42.72,25.87,53.5800907,56.3154865,46.0508278,42.7864134,-176,19965,54.1,43.2,6.9,NA,266,236,-153,35409,AL,2201,0.0127,0.6592,0.0777,0.0018,5.00E-04,0.0177,9.00E-04,0.0018,2,County,0.396246842,0.028148683,0.310357272,0.003789246,5542
348,Calhoun,Alabama,8,1015,13,Calhoun County,49.8,1.261088885,1.168029222,82,3.7725714,0,-45.6601148,3.26,1.5,-54.04,0.83,11.51,1293.8,14.92,20.16,35.16,13.31,11.61,-12.8,44.78,33.17,65.467128,69.2396994,33.5207612,27.8558764,-525,114980,73.6,20.4,6.6,NA,1450,1343,-498,41778,AL,7905,0.0578,0.6142,0.1905,0.0032,0.0028,0.0201,0.0024,0.0015,3,County,0.189212202,0.054716422,0.343773138,0.004923738,27012
444,Chambers,Alabama,9,1017,14,Chambers County,59.1,1.322774861,1.150754812,17,4.4705996,0,-74.44315924,3.67,2.35,-36.02,0.67,8.65,1200.14,16.77,16.69,-0.52,18.71,11.04,-40.99,38.73,27.69,52.1631644,56.633764,47.0608433,41.8275512,-251,33717,58.1,38.6,5.5,NA,446,388,-208,39530,AL,2815,0.0217,0.6519,0.1012,0.0014,4.00E-04,0.0213,0.0032,0.0021,3,County,0.374402686,0.04029446,0.280123983,0.004649361,7743
472,Cherokee,Alabama,10,1019,15,Cherokee County,54.7,1.381665761,0.908173562,7,7.0963543,0,9.702708996,2.36,1.33,-43.47,0.63,11.15,1678.21,19.02,25.9,36.22,11.73,5.75,-50.98,44.13,38.38,76.7749206,83.8712749,21.7805553,14.51014,25,25766,92.1,4.6,5.1,NA,356,234,141,41456,AL,845,0.0497,0.5385,0.1929,0.0047,0.0059,0.0343,0.0012,0.0024,NA,County,0.113701693,0.042797828,0.44346854,0.003193868,6262
495,Chilton,Alabama,11,1021,16,Chilton County,61.2,1.06091718,1.184120465,23,2.7551456,0,28.2911248,2.39,1.15,-51.71,0.8,12.96,1520.37,16.26,20.21,24.24,10.17,7.2,-29.14,41.52,34.32,79.7866238,82.5417694,19.450499,15.9353602,124,43830,81.1,9.6,5.5,NA,465,519,47,44188,AL,1375,0.0458,0.6225,0.168,0.0022,0.0015,0.0378,0.0036,0.0051,6,County,0.075696848,0.023228275,0.452450355,0.005374385,10978
501,Choctaw,Alabama,12,1023,17,Choctaw County,58.4,1.279693487,1.026819923,-2,4.3362351,0,-138.697318,3,2.15,-28.31,0.48,6.68,1306.07,12.54,13.05,4.07,16.1,10,-37.9,31.88,21.88,52.1029504,56.4391855,47.5204018,42.7765548,-181,13050,55.6,43.2,8.5,NA,167,134,-147,32691,AL,2277,0.0132,0.5933,0.0949,0.0048,0.0075,0.0931,0.0031,0.0048,7,County,0.422508345,0.06509299,0.255126371,0.004768717,4194
533,Clarke,Alabama,13,1025,18,Clarke County,64.1,1.137577002,1.071868583,4,0.9810553,0,-147.0225873,2.79,2.38,-14.46,0.43,5.97,1294.84,13.79,14.42,4.64,16.44,8.64,-47.42,31.41,22.77,53.9741086,54.9551639,45.6859767,44.1558442,-358,24350,54,43.7,10.9,NA,277,261,-345,34061,AL,3284,0.0131,0.5993,0.0786,0.0018,3.00E-04,0.0231,9.00E-04,0.0024,NA,County,0.396174176,0.02680594,0.290460609,0.001887742,7946
539,Clay,Alabama,14,1027,19,Clay County,60,1.185682327,0.976882923,0,7.2607594,0,-2.98284862,2.65,1.95,-26.65,0.48,7.5,1473.68,17.94,18.45,2.85,10.73,6.26,-41.62,34.16,27.9,72.3192771,79.5800365,26.6566265,18.7766281,-4,13410,80.3,14.7,6,NA,159,131,23,38512,AL,725,0.0372,0.6703,0.1021,0.0097,0.0041,0.0469,0.0041,0.0041,3,County,0.164644013,0.027305825,0.388956311,0.008697411,4944
563,Cleburne,Alabama,15,1029,20,Cleburne County,63.8,1.317824245,1.095945673,-5,4.2360798,0,-32.94560613,3.08,1.51,-51.1,0.66,11.37,1630.81,20.65,26.27,27.2,15.51,9.64,-37.86,48.79,39.15,83.6083783,87.8444581,15.407807,10.4715248,-49,14873,93.2,3.3,6,NA,196,163,-12,43483,AL,364,0.0687,0.6016,0.1648,0.0137,0.0055,0.0275,0,0.0027,3,County,0.047908086,0.015608064,0.459570778,0.014740949,4613
588,Coffee,Alabama,16,1031,21,Coffee County,44.2,0.937188824,1.276919773,75,2.8981655,0,47.44518422,2.46,1.43,-41.8,0.67,5.83,775.62,13.3,14.89,12.02,10.3,4.84,-53.04,26.99,22.15,74.2480345,77.1462,24.8490997,20.4455711,243,51217,72.3,16.5,5.9,NA,480,654,-5,48632,AL,2503,0.0471,0.638,0.173,0.0044,0.0012,0.026,0.002,0.0028,2,County,0.122961621,0.032037556,0.35447208,0.005518037,12142
593,Colbert,Alabama,17,1033,22,Colbert County,51.4,1.354759144,1.192777072,3,8.2871878,0,-5.706186611,1.73,1.69,-2.06,0.46,8.31,1714.06,13.74,21.26,54.7,10.35,8.28,-20,39.54,31.26,59.6004107,67.8875985,39.1888423,29.6272233,-31,54327,79.6,16,7,NA,736,648,54,46572,AL,4712,0.0384,0.6358,0.1662,0.0047,0.0019,0.025,0.0011,0.0015,4,County,0.28921861,0.100059648,0.287652848,0.001118401,13412
623,Conecuh,Alabama,18,1035,23,Conecuh County,66.8,1.190571314,1.070715142,2,3.1964109,1,-130.2437076,3.25,3.13,-3.9,0.79,10.51,1238.54,13.77,21.7,57.6,20.85,14.99,-28.11,50.33,35.34,48.9662056,52.1626165,50.6345359,46.9050894,-163,12515,51.1,46.3,8.4,NA,149,134,-150,29758,AL,2485,0.0209,0.4885,0.1022,0.002,0.0024,0.1006,0.0036,0.0109,2,County,0.51993865,0.139059305,0.196574642,0.00204499,3912
635,Coosa,Alabama,19,1037,24,Coosa County,63.4,1.25821075,0.75862707,3,6.883987,0,-105.4676658,3.5,3.01,-14.02,0.46,10.27,2127.95,16.42,20.1,22.41,16.41,9.47,-42.28,42.85,33.38,57.7531947,64.6371817,41.7318329,34.0800306,-114,10809,65.9,30.8,6,NA,136,82,-64,36441,AL,870,0.0241,0.6598,0.1138,0.0011,0.0011,0.0207,0.0023,0,6,County,0.302179755,0.037324574,0.368169603,0.002985966,3349
645,Covington,Alabama,20,1039,25,Covington County,53.5,1.310651046,1.200984326,-3,4.7819597,0,-43.86668807,2.92,2.25,-22.79,0.78,7.12,810.09,15.75,18.7,18.73,11.51,6.21,-45.99,34.28,28.07,78.8063574,83.5883171,20.4670775,15.039828,-164,37386,84.1,12.4,6.8,NA,490,449,-119,35010,AL,1290,0.0349,0.6636,0.1426,0.0039,8.00E-04,0.0256,8.00E-04,0.0062,2,County,0.071152732,0.018150222,0.444873528,0.007433868,10358
668,Crenshaw,Alabama,21,1041,26,Crenshaw County,60.2,1.200834112,1.092974761,0,4.6751385,0,40.26749119,5.92,3.72,-37.11,0.76,7.56,895.54,13.67,17.5,28.03,16.42,11.33,-31,40.11,28.78,67.4777726,72.1529111,31.9450944,26.5994882,56,13907,72.1,23.3,5.9,NA,167,152,71,37374,AL,882,0.0193,0.6281,0.0794,0.0045,0,0.0181,0.0034,0,2,County,0.241939782,0.028510525,0.398614442,0.003197442,3753
681,Cullman,Alabama,22,1043,27,Cullman County,52.9,1.229319016,1.200165205,29,3.6282154,0,73.00600083,1.27,1.37,7.81,0.34,14.49,4114.92,15.15,19.31,27.45,6.85,4.49,-34.42,39.66,35.17,84.1822895,87.8105049,14.6331907,10.0059016,601,82322,92.7,1,5,NA,1012,988,598,41543,AL,2531,0.0684,0.4986,0.2501,0.0079,0.0059,0.0439,0.0043,0.0036,4,County,0.05586225,0.031677182,0.465212057,0.003373642,22824
707,Dale,Alabama,23,1045,28,Dale County,47.3,1.060372146,1.318355407,44,3.4719641,0,-23.56382547,2.38,1.81,-23.87,0.67,7.8,1058.94,13.91,14.68,5.6,9.96,6.38,-35.97,30.67,24.29,70.643092,74.1150561,28.4782492,23.6772842,-116,49228,71.1,19,5.8,NA,522,649,-285,40523,AL,2415,0.0356,0.6857,0.166,0.0058,0.0017,0.0211,0.0021,0.0037,2,County,0.140619308,0.037795993,0.378051002,0.005100182,10980
709,Dallas,Alabama,24,1047,29,Dallas County,57.5,1.417130311,1.269928395,-1,0.865655,0,-214.0665153,4.25,2.49,-41.5,0.6,6.84,1040.08,11.89,13.88,16.78,18.6,23.62,27.05,46.83,23.21,30.0152847,30.8809397,69.7315629,68.4783769,-858,40081,28.9,69.2,9.2,NA,568,509,-799,30488,AL,9321,0.0254,0.669,0.0962,0.0047,0.0043,0.0855,0.0056,0.0041,7,County,0.748625295,0.154839836,0.045648948,0.000698263,11457
748,DeKalb,Alabama,25,1049,30,DeKalb County,61.7,1.117726354,1.190743653,94,6.6668137,0,2.527521905,1.93,1.75,-9.54,0.58,10.77,1768.2,14.7,18.67,27.03,9.6,5.76,-40.04,36.95,31.19,76.8224142,83.4892279,21.9570506,14.1148509,18,71216,81.6,1.4,6.1,NA,796,848,-127,37128,AL,2225,0.0512,0.5362,0.2566,0.0036,0.0031,0.0292,0.0031,0.0058,4,County,NA,NA,NA,NA,NA
871,Elmore,Alabama,26,1051,31,Elmore County,48.6,0.958887248,1.102904973,41,0.8454341,0,40.3741999,2.01,1.15,-42.59,0.47,6.19,1214.95,14.27,16.73,17.23,11.21,7.11,-36.53,31.18,24.07,73.9926637,74.8380978,25.2257336,22.8586912,328,81240,75,19.9,4.8,NA,779,896,170,54553,AL,4769,0.0543,0.6477,0.1545,0.0034,0.001,0.0151,8.00E-04,0.001,2,County,0.141226552,0.032464799,0.398793095,0.004444029,21377
883,Escambia,Alabama,27,1053,32,Escambia County,62.9,1.414238446,1.248799232,-2,5.1341275,0,-50.96595154,3.84,4.4,14.78,0.78,11.19,1333.14,13.94,22.63,62.32,15.15,10.75,-29.07,48.97,38.22,62.4528047,67.5869322,36.9201726,30.8814829,-191,37476,61.3,31.7,6.7,NA,530,468,-126,35096,AL,2127,0.0226,0.6874,0.1025,0.0038,9.00E-04,0.0226,5.00E-04,0.0014,1,County,0.255450536,0.028481411,0.355009452,0.00352867,7935
892,Etowah,Alabama,28,1055,33,Etowah County,50,1.393999572,1.18373148,9,5.4194336,0,-21.02680918,2.45,1.49,-39.13,0.71,14.28,1917.45,15.45,20.03,29.71,14.49,9.02,-37.74,44.82,35.8,68.4914097,73.9108433,30.1059073,23.8073331,-216,102726,79.3,15,5.9,NA,1432,1216,-4,40972,AL,6033,0.0428,0.6214,0.1737,0.0022,0.003,0.023,0.001,0.0027,4,County,0.175970273,0.053220479,0.357431874,0.003179191,24220
912,Fayette,Alabama,29,1057,34,Fayette County,59.8,1.348409723,0.97351554,0,5.5442962,0,-90.70020559,1.85,2.39,29.27,0.45,16.47,3549.05,15.32,22.49,46.79,9.75,7.11,-27.04,48.46,41.35,76.2639029,81.8081991,22.7881699,16.5690581,-150,16538,86,11.4,6.7,NA,223,161,-88,38403,AL,784,0.0497,0.5115,0.125,0.0051,0.0038,0.0281,0.0013,0.0038,4,County,0.115728564,0.025951254,0.4346835,0.004383658,5703
954,Franklin,Alabama,30,1059,35,Franklin County,61,1.159071476,1.285745954,54,9.4961263,0,34.83548152,1.89,1.82,-3.63,0.57,17.26,2948.02,14.97,21.34,42.57,9.68,6.84,-29.33,47.26,40.42,69.684133,79.1802593,29.2015839,18.377248,110,31577,79.6,3.8,5.9,NA,366,406,17,37049,AL,1101,0.0345,0.5749,0.2016,0.0054,0.0027,0.04,0.0027,0.0045,4,County,0.198295272,0.12335156,0.346574461,0.002251528,6218
1030,Geneva,Alabama,31,1061,36,Geneva County,58.3,1.35767084,1.074822749,-4,4.4397178,0,-46.38708704,2.53,1.54,-39.04,0.79,6.46,714.48,15.1,17.75,17.54,12.49,6.82,-45.4,32.57,25.75,81.0478883,85.4876061,18.0155505,13.0542928,-123,26516,84.7,9.4,5.8,NA,360,285,-43,36976,AL,816,0.0392,0.6262,0.1311,0.0037,0,0.0306,0.0012,0.0037,2,County,0.077548111,0.022380613,0.442765502,0.00598717,7015
1109,Greene,Alabama,32,1063,37,Greene County,64.1,1.154571159,1.107445806,-1,2.2394593,0,-25.91894439,3.32,2.46,-25.97,0.37,6.91,1744.09,12.34,17.11,38.63,30.1,21.48,-28.64,47.96,26.48,14.9962462,17.2357055,84.7222222,82.3940765,-22,8488,17.3,81.2,10,NA,98,94,-15,26559,AL,2462,0.0085,0.7238,0.0776,0.0028,0,0.0223,0.002,8.00E-04,7,County,0.841289523,0.066026038,0.045567266,0.000619963,3226
1150,Hale,Alabama,33,1065,38,Hale County,61.4,1.212366135,1.333602748,-1,2.4539996,0,-115.1747828,2.67,1.58,-40.76,0.39,6.58,1593.96,10.72,13.76,28.35,17.51,12.37,-29.37,34.29,21.92,37.1464998,39.6004994,62.5985165,59.5755306,-171,14847,39.4,58.8,7.7,NA,180,198,-190,35381,AL,2568,0.0171,0.5167,0.0681,0.0012,8.00E-04,0.0261,0.0012,0.0027,7,County,0.607107107,0.106856857,0.147647648,0.000500501,3996
1246,Henry,Alabama,34,1067,39,Henry County,55.4,1.298853265,1.082377721,4,5.7131684,0,-5.850690381,3.36,1.79,-46.83,0.72,6.31,781.63,15.73,16.02,1.8,16.38,7.69,-53.05,31.81,24.12,64.4252874,70.1384558,35.0114943,28.5144069,-10,17092,67.8,28.4,6.5,NA,222,185,22,41426,AL,1363,0.0161,0.7483,0.1225,7.00E-04,0.0029,0.0301,0.0022,0.0015,2,County,0.229411765,0.031960784,0.348627451,0.004117647,5100
1297,Houston,Alabama,35,1069,40,Houston County,47.2,1.061695449,1.259443426,32,2.9084941,0,-7.29555643,2.45,2.25,-8.04,0.76,9.57,1162.07,12.71,13.61,7.06,12.38,6.79,-45.16,32.22,25.43,69.8181297,72.7266238,29.5103124,25.0939805,-76,104173,68.7,25.6,5.8,NA,1106,1312,-310,42910,AL,5651,0.0421,0.6923,0.1642,0.0023,0.0023,0.0204,0.0028,0.0019,2,County,0.128314294,0.032879484,0.344433672,0.005817139,23723
1362,Jackson,Alabama,36,1071,41,Jackson County,61.6,1.406367077,1.085515572,27,9.90919,0,-30.35601068,2.57,2.23,-13.19,0.55,10.29,1778.98,13.47,21.97,63.08,9.18,6.36,-30.65,40.85,34.49,70.1629774,80.0721674,28.2996838,17.623286,-158,52049,90.1,3.3,6.3,NA,732,565,-16,41407,AL,1870,0.0476,0.5556,0.2155,0.0043,0.0053,0.0289,0.0032,0.0043,NA,County,0.10550167,0.040546987,0.434329782,0.003180156,12578
1398,Jefferson,Alabama,37,1073,42,Jefferson County,37.5,1.078292133,1.310199213,753,-1.583662,0,-5.153490656,4.96,3.71,-25.13,0.87,22.64,2508.44,15.41,15.33,-0.52,22.7,14.92,-34.27,56.6,41.68,46.6057398,45.0220778,52.6187777,52.2493115,-340,659747,51.7,41.8,5.7,NA,7114,8644,-2614,50109,AL,101704,0.0719,0.6644,0.1588,0.0027,0.0017,0.0146,0.0016,0.0014,NA,County,0.384558731,0.081750916,0.18756637,0.001906893,175154
1569,Lamar,Alabama,38,1075,43,Lamar County,58,1.44096351,1.082514876,3,7.786283,0,12.90415084,1.73,1.27,-26.74,0.48,9.57,1883.2,13.23,16.33,23.39,6.86,4.3,-37.39,31.47,27.17,76.1698561,83.9561391,22.9501327,14.9329101,18,13949,86.1,11.2,5.6,NA,201,151,65,38358,AL,527,0.0209,0.6148,0.1044,0,0,0.038,0,0.0057,4,County,0.106763285,0.04178744,0.437198068,0.006763285,4140
1597,Lauderdale,Alabama,39,1077,44,Lauderdale County,49.7,1.244597537,1.007376596,14,6.6969892,0,-11.1569666,2.46,2.15,-12.8,0.51,10.38,1950.8,12.86,17.34,34.86,9.23,6.56,-28.87,36.43,29.87,64.7610274,71.4580166,33.8788339,25.4476593,-103,92319,85.5,9.9,6.4,NA,1149,930,104,44124,AL,6507,0.0722,0.5483,0.2377,0.0038,0.0025,0.0217,0.0034,0.0034,5,County,0.160118477,0.076008363,0.326770625,0.002787699,22958
1604,Lawrence,Alabama,40,1079,45,Lawrence County,62.4,1.161531054,1.095329803,-3,10.496141,0,28.58690419,2.08,1.9,-8.87,0.52,13.83,2539.51,14.45,22.84,57.98,12.82,8.09,-36.89,46.66,38.57,62.895092,73.391233,35.9045387,24.6939752,95,33232,76.9,11.4,6.9,NA,386,364,121,43107,AL,2066,0.0329,0.6559,0.1239,0.0024,0.001,0.0179,0.001,0.0034,4,County,0.220605669,0.04612566,0.388403923,0.004095269,9279
1621,Lee,Alabama,41,1081,46,Lee County,35.8,0.643465025,1.230320223,572,0.2669109,0,141.0842669,4.05,1.73,-57.27,0.63,5.41,752.19,12.43,12.93,3.98,10.09,7.02,-30.43,27.09,20.07,59.247898,59.5148089,39.3125751,36.3928002,2243,158983,69.8,22.6,5.2,NA,1023,1956,735,47749,AL,12531,0.0972,0.5881,0.2082,0.0034,0.0027,0.0151,0.0022,0.0013,3,County,0.234322674,0.080898286,0.227657758,0.004202508,30458
1659,Limestone,Alabama,42,1083,47,Limestone County,48.8,0.82544124,1.095566078,94,1.8050472,0,138.5062419,1.97,1.31,-33.29,0.46,6.71,1347.89,14.12,16.54,17.15,9.2,6.21,-32.42,30.77,24.56,71.3523132,73.1573604,27.7043439,23.7055838,1287,92920,78.7,12.5,5.3,NA,767,1018,943,52181,AL,6778,0.059,0.6089,0.2082,0.0035,0.0022,0.0148,0.0018,0.0018,5,County,0.13770393,0.048211442,0.352890534,0.003013215,23231
1722,Lowndes,Alabama,43,1085,48,Lowndes County,62.9,1.249877942,1.191289913,-1,2.9007102,0,-101.5525828,3.53,1.67,-52.73,0.4,4.59,1045.22,9.91,13.82,39.52,30.41,22.3,-26.66,42.38,20.08,23.3275702,26.2282804,76.4330363,73.1276213,-104,10241,25.1,73.3,10.6,NA,128,122,-96,32011,AL,3450,0.0157,0.6974,0.1119,0.0017,0.002,0.0458,0.0014,0.009,7,County,0.755191693,0.065894569,0.099840256,0.000199681,5008
1744,Macon,Alabama,44,1087,49,Macon County,50.7,1.337038591,0.975251678,7,3.205172,0,-121.6442953,5,2.71,-45.82,0.52,7.37,1327.69,10.91,14.14,29.67,27.46,24.53,-10.64,48.75,24.22,12.7298989,15.9350709,87.0967742,82.7274806,-232,19072,15.2,82.2,7.6,NA,255,186,-169,30681,AL,4547,0.0365,0.6745,0.1058,0.0015,0.0015,0.0363,0.002,0.0057,3,County,0.777435712,0.087468309,0.064469395,0.000724375,5522
1752,Madison,Alabama,45,1089,50,Madison County,30.1,0.897528009,1.171164597,499,-2.7082013,0,100.2492198,1.62,1.52,-6.24,0.43,6.28,1374.73,17.39,15.29,-12.07,11.09,7.22,-34.84,30.31,23.09,58.6418076,55.9336063,39.9671478,39.150828,3572,356312,66.1,23.7,5.1,NA,3198,4173,2097,61193,AL,45039,0.0804,0.5754,0.2328,0.0034,0.0025,0.0141,0.0025,0.0014,5,County,0.212083285,0.093191485,0.252346758,0.002185004,94279
1784,Marengo,Alabama,46,1091,51,Marengo County,56.3,1.261215073,1.204819277,7,1.4830953,0,-129.1976416,2.76,2.08,-24.58,0.42,6.43,1422.37,10.4,11.36,9.29,14.96,9.57,-36.01,29.44,19.87,46.2333826,47.7164779,53.4711965,51.2148338,-252,19505,45.7,51.5,7.2,NA,246,235,-246,34794,AL,3413,0.0152,0.6212,0.0706,0.0015,0.0026,0.0305,0.0029,0.0018,7,County,0.608784128,0.185178905,0.098355096,0.001695778,5897
1789,Marion,Alabama,47,1093,52,Marion County,55.1,1.396965443,0.959160484,1,7.2006315,0,-64.83523829,1.44,1.02,-29.57,0.44,7.2,1537.07,13.55,19.97,47.39,7.66,5.88,-23.21,34.07,28.19,80.1057502,87.3063817,18.5806345,11.0904585,-194,29922,92.6,3.8,6.6,NA,418,287,-63,36386,AL,700,0.05,0.5686,0.1914,0.0029,0.0029,0.0357,0.0014,0.0029,4,County,0.076785959,0.034416564,0.473604827,0.005073358,7293
1810,Marshall,Alabama,48,1095,53,Marshall County,53.3,1.22155235,1.415148933,78,4.1122365,0,49.03043885,2.71,2.53,-6.48,0.56,13.49,2325.3,18.75,19.98,6.56,9.89,5.61,-43.28,41.61,36,79.4484671,83.5607036,19.3221383,14.0511941,466,95043,83.9,1.5,5.3,NA,1161,1345,207,42117,AL,3010,0.0631,0.5252,0.2581,0.0056,0.0066,0.0203,0.0017,0.005,4,County,0.072485566,0.039833099,0.442239581,0.002716996,20611
1945,Mobile,Alabama,49,1097,54,Mobile County,46.8,1.075323248,1.346263246,514,1.459927,0,6.363715253,2.95,3.76,27.78,0.65,11.82,1730.59,15.47,15.58,0.7,23,14.01,-39.06,45.17,31.16,54.2893064,55.7492334,45.0183421,41.881545,264,414852,59.1,34.4,6.6,NA,4461,5585,-1368,45233,AL,40348,0.0393,0.6673,0.1639,0.0022,0.0012,0.0202,0.0013,0.0034,1,County,0.299139704,0.059105742,0.292500793,0.00315067,97757
1954,Monroe,Alabama,50,1099,55,Monroe County,63.1,1.070832561,1.019840534,-2,3.0100721,0,-68.60745411,3.22,2.31,-28.23,0.54,7.93,1362.6,13.08,16.18,23.74,19.43,12.11,-37.66,38.53,26.42,53.6516854,56.6617575,45.8520599,42.317133,-148,21572,54.7,41.5,9.1,NA,231,220,-135,36639,AL,2456,0.0155,0.6987,0.0835,0.0016,8.00E-04,0.035,0,0.0045,1,County,0.380573745,0.031961335,0.306672903,0.003118179,6414
1975,Montgomery,Alabama,51,1101,58,Montgomery County,39.9,0.957585702,1.372642425,391,-1.7377986,0,-12.61490146,3.7,1.62,-56.16,0.73,6.05,734.82,11.65,12.63,8.41,17.28,17.11,-1,37.41,20.3,37.6131105,35.8753119,61.8907262,62.0363321,-286,226716,38.4,54.5,5.7,NA,2171,3112,-1620,45111,AL,34536,0.043,0.6794,0.1304,0.0023,0.0014,0.0225,0.001,0.0024,NA,County,0.481690709,0.071723999,0.176821682,0.002841387,59478
2002,Morgan,Alabama,52,1103,59,Morgan County,47.6,1.147122935,1.196778293,97,3.0282859,0,-31.98141711,1.53,2.15,40.62,0.46,11.41,2369.49,16.09,19.08,18.55,9.39,6.4,-31.77,39.04,32.64,71.7691776,74.7974635,27.2389122,22.4360385,-380,118819,77.5,11.8,5.5,NA,1363,1422,-534,46843,AL,6639,0.0511,0.5956,0.1883,0.0041,0.0029,0.02,0.0017,0.003,5,County,0.131493835,0.04544842,0.368472475,0.002088808,29682
2227,Perry,Alabama,53,1105,60,Perry County,63.1,1.044932079,1.358411703,0,1.9003611,0,-86.72936259,3.47,3.4,-2,0.47,9.95,2006.28,10.44,12.79,22.53,16.95,15.83,-6.61,41.97,26.14,24.7980214,26.6983825,74.7897774,72.7497621,-83,9570,29.7,68.4,10.3,NA,100,130,-113,25221,AL,2793,0.0247,0.7497,0.0637,0.0011,0.0032,0.0516,0.0025,0.0036,7,County,0.763415357,0.115327602,0.056922621,0.000592944,3373
2252,Pickens,Alabama,54,1107,61,Pickens County,58.8,1.220772828,1.112478464,6,4.1183368,0,-226.9259168,2.04,1.44,-29.16,0.45,10.53,2265.88,11.67,14.42,23.55,12.13,7.45,-38.61,33.84,26.39,53.3284717,57.4468085,46.3381602,41.8369497,-461,20315,55.8,41.4,6.9,NA,248,226,-446,35968,AL,2164,0.0134,0.5277,0.0906,0.0014,0.0023,0.0171,5.00E-04,0.0023,7,County,0.434441539,0.084609638,0.209936496,0.003175196,5354
2261,Pike,Alabama,55,1109,62,Pike County,52.7,0.842992624,1.17115761,110,2.4940092,0,-47.26780069,4.46,3.62,-18.96,0.72,6.7,836.97,11.56,17.17,48.6,14.25,9.33,-34.49,36.82,27.49,56.4772,58.9712092,42.7473856,38.6871401,-157,33215,57.4,36.4,6.5,NA,280,389,-378,35172,AL,2614,0.0402,0.6832,0.1656,0.0015,8.00E-04,0.0249,0.0027,0.0011,2,County,0.275353179,0.047805247,0.314455096,0.005423814,7928
